Provincias;Sexo;Periodo;Total
33 Asturias;Ambos sexos;1980;35,90
33 Asturias;Ambos sexos;1979;35,66
33 Asturias;Ambos sexos;1978;35,41
33 Asturias;Ambos sexos;1977;35,23
33 Asturias;Ambos sexos;1976;35,06
33 Asturias;Ambos sexos;1975;34,87
06 Badajoz;Ambos sexos;2024;44,82
06 Badajoz;Ambos sexos;2023;44,52
06 Badajoz;Ambos sexos;2022;44,24
06 Badajoz;Ambos sexos;2021;43,94
06 Badajoz;Ambos sexos;2020;43,69
06 Badajoz;Ambos sexos;2019;43,40
06 Badajoz;Ambos sexos;2018;43,09
06 Badajoz;Ambos sexos;2017;42,81
06 Badajoz;Ambos sexos;2016;42,50
06 Badajoz;Ambos sexos;2015;42,20
06 Badajoz;Ambos sexos;2014;41,91
06 Badajoz;Ambos sexos;2013;41,60
06 Badajoz;Ambos sexos;2012;41,35
06 Badajoz;Ambos sexos;2011;41,12
06 Badajoz;Ambos sexos;2010;40,90
06 Badajoz;Ambos sexos;2009;40,70
06 Badajoz;Ambos sexos;2008;40,51
06 Badajoz;Ambos sexos;2007;40,34
06 Badajoz;Ambos sexos;2006;40,14
06 Badajoz;Ambos sexos;2005;39,95
06 Badajoz;Ambos sexos;2004;39,72
06 Badajoz;Ambos sexos;2003;39,52
06 Badajoz;Ambos sexos;2002;39,26
06 Badajoz;Ambos sexos;2001;39,01
06 Badajoz;Ambos sexos;2000;38,73
06 Badajoz;Ambos sexos;1999;38,48
06 Badajoz;Ambos sexos;1998;38,21
06 Badajoz;Ambos sexos;1997;37,93
06 Badajoz;Ambos sexos;1996;37,67
06 Badajoz;Ambos sexos;1995;37,42
06 Badajoz;Ambos sexos;1994;37,17
06 Badajoz;Ambos sexos;1993;36,96
06 Badajoz;Ambos sexos;1992;36,75
06 Badajoz;Ambos sexos;1991;36,57
06 Badajoz;Ambos sexos;1990;36,35
06 Badajoz;Ambos sexos;1989;36,15
06 Badajoz;Ambos sexos;1988;35,95
06 Badajoz;Ambos sexos;1987;35,75
06 Badajoz;Ambos sexos;1986;35,55
06 Badajoz;Ambos sexos;1985;35,35
06 Badajoz;Ambos sexos;1984;35,18
06 Badajoz;Ambos sexos;1983;35,03
06 Badajoz;Ambos sexos;1982;34,87
06 Badajoz;Ambos sexos;1981;34,74
06 Badajoz;Ambos sexos;1980;34,60
06 Badajoz;Ambos sexos;1979;34,45
06 Badajoz;Ambos sexos;1978;34,29
06 Badajoz;Ambos sexos;1977;34,09
06 Badajoz;Ambos sexos;1976;33,89
06 Badajoz;Ambos sexos;1975;33,66
08 Barcelona;Ambos sexos;2024;43,58
08 Barcelona;Ambos sexos;2023;43,43
08 Barcelona;Ambos sexos;2022;43,38
08 Barcelona;Ambos sexos;2021;43,14
08 Barcelona;Ambos sexos;2020;42,98
08 Barcelona;Ambos sexos;2019;42,86
08 Barcelona;Ambos sexos;2018;42,75
08 Barcelona;Ambos sexos;2017;42,64
08 Barcelona;Ambos sexos;2016;42,46
08 Barcelona;Ambos sexos;2015;42,25
08 Barcelona;Ambos sexos;2014;41,98
08 Barcelona;Ambos sexos;2013;41,65
08 Barcelona;Ambos sexos;2012;41,37
08 Barcelona;Ambos sexos;2011;41,12
08 Barcelona;Ambos sexos;2010;40,90
08 Barcelona;Ambos sexos;2009;40,70
08 Barcelona;Ambos sexos;2008;40,64
08 Barcelona;Ambos sexos;2007;40,61
08 Barcelona;Ambos sexos;2006;40,55
08 Barcelona;Ambos sexos;2005;40,51
08 Barcelona;Ambos sexos;2004;40,47
08 Barcelona;Ambos sexos;2003;40,48
08 Barcelona;Ambos sexos;2002;40,52
08 Barcelona;Ambos sexos;2001;40,36
08 Barcelona;Ambos sexos;2000;40,13
08 Barcelona;Ambos sexos;1999;39,89
08 Barcelona;Ambos sexos;1998;39,62
08 Barcelona;Ambos sexos;1997;39,35
08 Barcelona;Ambos sexos;1996;39,05
08 Barcelona;Ambos sexos;1995;38,74
08 Barcelona;Ambos sexos;1994;38,43
08 Barcelona;Ambos sexos;1993;38,13
08 Barcelona;Ambos sexos;1992;37,84
08 Barcelona;Ambos sexos;1991;37,53
08 Barcelona;Ambos sexos;1990;37,16
08 Barcelona;Ambos sexos;1989;36,79
08 Barcelona;Ambos sexos;1988;36,42
08 Barcelona;Ambos sexos;1987;36,04
08 Barcelona;Ambos sexos;1986;35,69
08 Barcelona;Ambos sexos;1985;35,35
08 Barcelona;Ambos sexos;1984;34,99
08 Barcelona;Ambos sexos;1983;34,60
08 Barcelona;Ambos sexos;1982;34,21
08 Barcelona;Ambos sexos;1981;33,86
08 Barcelona;Ambos sexos;1980;33,57
08 Barcelona;Ambos sexos;1979;33,31
08 Barcelona;Ambos sexos;1978;33,13
08 Barcelona;Ambos sexos;1977;33,00
08 Barcelona;Ambos sexos;1976;32,91
08 Barcelona;Ambos sexos;1975;32,89
09 Burgos;Ambos sexos;2024;47,37
09 Burgos;Ambos sexos;2023;47,24
09 Burgos;Ambos sexos;2022;47,15
09 Burgos;Ambos sexos;2021;46,85
09 Burgos;Ambos sexos;2020;46,69
09 Burgos;Ambos sexos;2019;46,52
09 Burgos;Ambos sexos;2018;46,28
09 Burgos;Ambos sexos;2017;46,05
09 Burgos;Ambos sexos;2016;45,75
09 Burgos;Ambos sexos;2015;45,45
09 Burgos;Ambos sexos;2014;45,16
09 Burgos;Ambos sexos;2013;44,83
09 Burgos;Ambos sexos;2012;44,57
09 Burgos;Ambos sexos;2011;44,31
09 Burgos;Ambos sexos;2010;44,01
09 Burgos;Ambos sexos;2009;43,75
09 Burgos;Ambos sexos;2008;43,64
09 Burgos;Ambos sexos;2007;43,68
09 Burgos;Ambos sexos;2006;43,57
09 Burgos;Ambos sexos;2005;43,48
09 Burgos;Ambos sexos;2004;43,34
09 Burgos;Ambos sexos;2003;43,16
09 Burgos;Ambos sexos;2002;43,00
09 Burgos;Ambos sexos;2001;42,73
09 Burgos;Ambos sexos;2000;42,44
09 Burgos;Ambos sexos;1999;42,14
09 Burgos;Ambos sexos;1998;41,80
09 Burgos;Ambos sexos;1997;41,47
09 Burgos;Ambos sexos;1996;41,13
09 Burgos;Ambos sexos;1995;40,76
09 Burgos;Ambos sexos;1994;40,40
09 Burgos;Ambos sexos;1993;40,07
09 Burgos;Ambos sexos;1992;39,73
09 Burgos;Ambos sexos;1991;39,37
09 Burgos;Ambos sexos;1990;39,01
09 Burgos;Ambos sexos;1989;38,65
09 Burgos;Ambos sexos;1988;38,30
09 Burgos;Ambos sexos;1987;37,94
09 Burgos;Ambos sexos;1986;37,60
09 Burgos;Ambos sexos;1985;37,25
09 Burgos;Ambos sexos;1984;36,89
09 Burgos;Ambos sexos;1983;36,54
09 Burgos;Ambos sexos;1982;36,16
09 Burgos;Ambos sexos;1981;35,82
09 Burgos;Ambos sexos;1980;35,51
09 Burgos;Ambos sexos;1979;35,21
09 Burgos;Ambos sexos;1978;34,95
09 Burgos;Ambos sexos;1977;34,72
09 Burgos;Ambos sexos;1976;34,53
09 Burgos;Ambos sexos;1975;34,32
10 Cáceres;Ambos sexos;2024;47,41
10 Cáceres;Ambos sexos;2023;47,15
10 Cáceres;Ambos sexos;2022;46,93
10 Cáceres;Ambos sexos;2021;46,66
10 Cáceres;Ambos sexos;2020;46,43
10 Cáceres;Ambos sexos;2019;46,10
10 Cáceres;Ambos sexos;2018;45,76
10 Cáceres;Ambos sexos;2017;45,45
10 Cáceres;Ambos sexos;2016;45,12
10 Cáceres;Ambos sexos;2015;44,80
10 Cáceres;Ambos sexos;2014;44,46
10 Cáceres;Ambos sexos;2013;44,15
10 Cáceres;Ambos sexos;2012;43,86
10 Cáceres;Ambos sexos;2011;43,59
10 Cáceres;Ambos sexos;2010;43,32
10 Cáceres;Ambos sexos;2009;43,09
10 Cáceres;Ambos sexos;2008;42,88
10 Cáceres;Ambos sexos;2007;42,65
10 Cáceres;Ambos sexos;2006;42,36
10 Cáceres;Ambos sexos;2005;42,09
10 Cáceres;Ambos sexos;2004;41,80
10 Cáceres;Ambos sexos;2003;41,55
10 Cáceres;Ambos sexos;2002;41,25
10 Cáceres;Ambos sexos;2001;40,96
10 Cáceres;Ambos sexos;2000;40,66
10 Cáceres;Ambos sexos;1999;40,38
10 Cáceres;Ambos sexos;1998;40,08
10 Cáceres;Ambos sexos;1997;39,77
10 Cáceres;Ambos sexos;1996;39,47
10 Cáceres;Ambos sexos;1995;39,17
10 Cáceres;Ambos sexos;1994;38,86
10 Cáceres;Ambos sexos;1993;38,58
10 Cáceres;Ambos sexos;1992;38,29
10 Cáceres;Ambos sexos;1991;38,01
10 Cáceres;Ambos sexos;1990;37,75
10 Cáceres;Ambos sexos;1989;37,48
10 Cáceres;Ambos sexos;1988;37,22
10 Cáceres;Ambos sexos;1987;36,97
10 Cáceres;Ambos sexos;1986;36,75
10 Cáceres;Ambos sexos;1985;36,54
10 Cáceres;Ambos sexos;1984;36,30
10 Cáceres;Ambos sexos;1983;36,10
10 Cáceres;Ambos sexos;1982;35,88
10 Cáceres;Ambos sexos;1981;35,70
10 Cáceres;Ambos sexos;1980;35,55
10 Cáceres;Ambos sexos;1979;35,36
10 Cáceres;Ambos sexos;1978;35,13
10 Cáceres;Ambos sexos;1977;34,86
10 Cáceres;Ambos sexos;1976;34,58
10 Cáceres;Ambos sexos;1975;34,26
24 León;Ambos sexos;2024;50,03
24 León;Ambos sexos;2023;49,82
24 León;Ambos sexos;2022;49,68
24 León;Ambos sexos;2021;49,41
24 León;Ambos sexos;2020;49,25
24 León;Ambos sexos;2019;48,97
24 León;Ambos sexos;2018;48,70
24 León;Ambos sexos;2017;48,39
24 León;Ambos sexos;2016;48,08
24 León;Ambos sexos;2015;47,77
24 León;Ambos sexos;2014;47,46
24 León;Ambos sexos;2013;47,11
24 León;Ambos sexos;2012;46,83
24 León;Ambos sexos;2011;46,56
24 León;Ambos sexos;2010;46,30
24 León;Ambos sexos;2009;46,04
24 León;Ambos sexos;2008;45,87
24 León;Ambos sexos;2007;45,75
24 León;Ambos sexos;2006;45,54
24 León;Ambos sexos;2005;45,32
24 León;Ambos sexos;2004;45,06
24 León;Ambos sexos;2003;44,78
24 León;Ambos sexos;2002;44,47
24 León;Ambos sexos;2001;44,09
24 León;Ambos sexos;2000;43,71
24 León;Ambos sexos;1999;43,31
24 León;Ambos sexos;1998;42,91
24 León;Ambos sexos;1997;42,49
24 León;Ambos sexos;1996;42,06
24 León;Ambos sexos;1995;41,63
24 León;Ambos sexos;1994;41,20
24 León;Ambos sexos;1993;40,78
24 León;Ambos sexos;1992;40,36
24 León;Ambos sexos;1991;39,96
24 León;Ambos sexos;1990;39,60
24 León;Ambos sexos;1989;39,23
24 León;Ambos sexos;1988;38,88
24 León;Ambos sexos;1987;38,53
24 León;Ambos sexos;1986;38,22
24 León;Ambos sexos;1985;37,94
24 León;Ambos sexos;1984;37,66
24 León;Ambos sexos;1983;37,41
24 León;Ambos sexos;1982;37,16
24 León;Ambos sexos;1981;36,93
24 León;Ambos sexos;1980;36,59
24 León;Ambos sexos;1979;36,26
24 León;Ambos sexos;1978;35,93
24 León;Ambos sexos;1977;35,59
24 León;Ambos sexos;1976;35,26
24 León;Ambos sexos;1975;34,88
28 Madrid;Ambos sexos;2024;43,25
28 Madrid;Ambos sexos;2023;43,09
28 Madrid;Ambos sexos;2022;43,02
28 Madrid;Ambos sexos;2021;42,72
28 Madrid;Ambos sexos;2020;42,53
28 Madrid;Ambos sexos;2019;42,37
28 Madrid;Ambos sexos;2018;42,18
28 Madrid;Ambos sexos;2017;41,99
28 Madrid;Ambos sexos;2016;41,75
28 Madrid;Ambos sexos;2015;41,51
28 Madrid;Ambos sexos;2014;41,21
28 Madrid;Ambos sexos;2013;40,83
28 Madrid;Ambos sexos;2012;40,50
28 Madrid;Ambos sexos;2011;40,21
28 Madrid;Ambos sexos;2010;39,90
28 Madrid;Ambos sexos;2009;39,66
28 Madrid;Ambos sexos;2008;39,51
28 Madrid;Ambos sexos;2007;39,44
28 Madrid;Ambos sexos;2006;39,34
28 Madrid;Ambos sexos;2005;39,19
28 Madrid;Ambos sexos;2004;39,05
28 Madrid;Ambos sexos;2003;39,00
28 Madrid;Ambos sexos;2002;39,02
28 Madrid;Ambos sexos;2001;38,85
28 Madrid;Ambos sexos;2000;38,60
28 Madrid;Ambos sexos;1999;38,34
28 Madrid;Ambos sexos;1998;38,05
28 Madrid;Ambos sexos;1997;37,75
28 Madrid;Ambos sexos;1996;37,45
28 Madrid;Ambos sexos;1995;37,15
28 Madrid;Ambos sexos;1994;36,85
28 Madrid;Ambos sexos;1993;36,57
28 Madrid;Ambos sexos;1992;36,30
28 Madrid;Ambos sexos;1991;36,01
28 Madrid;Ambos sexos;1990;35,60
28 Madrid;Ambos sexos;1989;35,21
28 Madrid;Ambos sexos;1988;34,82
28 Madrid;Ambos sexos;1987;34,45
28 Madrid;Ambos sexos;1986;34,08
28 Madrid;Ambos sexos;1985;33,75
28 Madrid;Ambos sexos;1984;33,42
28 Madrid;Ambos sexos;1983;33,10
28 Madrid;Ambos sexos;1982;32,80
28 Madrid;Ambos sexos;1981;32,54
28 Madrid;Ambos sexos;1980;32,22
28 Madrid;Ambos sexos;1979;31,96
28 Madrid;Ambos sexos;1978;31,77
28 Madrid;Ambos sexos;1977;31,63
28 Madrid;Ambos sexos;1976;31,55
28 Madrid;Ambos sexos;1975;31,48
37 Salamanca;Ambos sexos;2024;49,05
37 Salamanca;Ambos sexos;2023;48,83
37 Salamanca;Ambos sexos;2022;48,76
37 Salamanca;Ambos sexos;2021;48,48
37 Salamanca;Ambos sexos;2020;48,33
37 Salamanca;Ambos sexos;2019;48,08
37 Salamanca;Ambos sexos;2018;47,84
37 Salamanca;Ambos sexos;2017;47,57
37 Salamanca;Ambos sexos;2016;47,25
37 Salamanca;Ambos sexos;2015;46,93
37 Salamanca;Ambos sexos;2014;46,58
37 Salamanca;Ambos sexos;2013;46,26
37 Salamanca;Ambos sexos;2012;45,96
37 Salamanca;Ambos sexos;2011;45,65
37 Salamanca;Ambos sexos;2010;45,39
37 Salamanca;Ambos sexos;2009;45,15
37 Salamanca;Ambos sexos;2008;45,01
37 Salamanca;Ambos sexos;2007;44,87
37 Salamanca;Ambos sexos;2006;44,67
37 Salamanca;Ambos sexos;2005;44,43
37 Salamanca;Ambos sexos;2004;44,20
37 Salamanca;Ambos sexos;2003;43,98
37 Salamanca;Ambos sexos;2002;43,74
37 Salamanca;Ambos sexos;2001;43,42
37 Salamanca;Ambos sexos;2000;43,08
37 Salamanca;Ambos sexos;1999;42,74
37 Salamanca;Ambos sexos;1998;42,39
37 Salamanca;Ambos sexos;1997;42,04
37 Salamanca;Ambos sexos;1996;41,66
37 Salamanca;Ambos sexos;1995;41,31
37 Salamanca;Ambos sexos;1994;40,94
37 Salamanca;Ambos sexos;1993;40,60
37 Salamanca;Ambos sexos;1992;40,26
37 Salamanca;Ambos sexos;1991;39,93
37 Salamanca;Ambos sexos;1990;39,60
37 Salamanca;Ambos sexos;1989;39,27
37 Salamanca;Ambos sexos;1988;38,96
37 Salamanca;Ambos sexos;1987;38,64
37 Salamanca;Ambos sexos;1986;38,35
37 Salamanca;Ambos sexos;1985;38,08
37 Salamanca;Ambos sexos;1984;37,81
37 Salamanca;Ambos sexos;1983;37,57
37 Salamanca;Ambos sexos;1982;37,30
37 Salamanca;Ambos sexos;1981;37,04
37 Salamanca;Ambos sexos;1980;36,72
37 Salamanca;Ambos sexos;1979;36,41
37 Salamanca;Ambos sexos;1978;36,13
37 Salamanca;Ambos sexos;1977;35,83
37 Salamanca;Ambos sexos;1976;35,56
37 Salamanca;Ambos sexos;1975;35,26
43 Tarragona;Ambos sexos;2024;43,62
43 Tarragona;Ambos sexos;2023;43,43
43 Tarragona;Ambos sexos;2022;43,31
43 Tarragona;Ambos sexos;2021;43,08
43 Tarragona;Ambos sexos;2020;42,88
43 Tarragona;Ambos sexos;2019;42,73
43 Tarragona;Ambos sexos;2018;42,54
43 Tarragona;Ambos sexos;2017;42,32
43 Tarragona;Ambos sexos;2016;42,02
43 Tarragona;Ambos sexos;2015;41,73
43 Tarragona;Ambos sexos;2014;41,39
43 Tarragona;Ambos sexos;2013;41,00
43 Tarragona;Ambos sexos;2012;40,67
43 Tarragona;Ambos sexos;2011;40,41
43 Tarragona;Ambos sexos;2010;40,20
43 Tarragona;Ambos sexos;2009;40,00
43 Tarragona;Ambos sexos;2008;39,94
43 Tarragona;Ambos sexos;2007;40,06
43 Tarragona;Ambos sexos;2006;40,18
43 Tarragona;Ambos sexos;2005;40,33
43 Tarragona;Ambos sexos;2004;40,43
43 Tarragona;Ambos sexos;2003;40,49
43 Tarragona;Ambos sexos;2002;40,58
43 Tarragona;Ambos sexos;2001;40,36
43 Tarragona;Ambos sexos;2000;40,11
43 Tarragona;Ambos sexos;1999;39,87
43 Tarragona;Ambos sexos;1998;39,60
43 Tarragona;Ambos sexos;1997;39,33
43 Tarragona;Ambos sexos;1996;39,06
43 Tarragona;Ambos sexos;1995;38,80
43 Tarragona;Ambos sexos;1994;38,54
43 Tarragona;Ambos sexos;1993;38,29
43 Tarragona;Ambos sexos;1992;38,04
43 Tarragona;Ambos sexos;1991;37,79
43 Tarragona;Ambos sexos;1990;37,47
43 Tarragona;Ambos sexos;1989;37,16
43 Tarragona;Ambos sexos;1988;36,86
43 Tarragona;Ambos sexos;1987;36,55
43 Tarragona;Ambos sexos;1986;36,26
43 Tarragona;Ambos sexos;1985;36,03
43 Tarragona;Ambos sexos;1984;35,78
43 Tarragona;Ambos sexos;1983;35,53
43 Tarragona;Ambos sexos;1982;35,32
43 Tarragona;Ambos sexos;1981;35,17
43 Tarragona;Ambos sexos;1980;35,04
43 Tarragona;Ambos sexos;1979;34,95
43 Tarragona;Ambos sexos;1978;34,96
43 Tarragona;Ambos sexos;1977;35,03
43 Tarragona;Ambos sexos;1976;35,12
43 Tarragona;Ambos sexos;1975;35,21
47 Valladolid;Ambos sexos;2024;47,06
47 Valladolid;Ambos sexos;2023;46,87
47 Valladolid;Ambos sexos;2022;46,71
47 Valladolid;Ambos sexos;2021;46,40
47 Valladolid;Ambos sexos;2020;46,18
47 Valladolid;Ambos sexos;2019;45,89
47 Valladolid;Ambos sexos;2018;45,61
47 Valladolid;Ambos sexos;2017;45,30
47 Valladolid;Ambos sexos;2016;44,97
47 Valladolid;Ambos sexos;2015;44,66
47 Valladolid;Ambos sexos;2014;44,34
47 Valladolid;Ambos sexos;2013;43,98
47 Valladolid;Ambos sexos;2012;43,67
47 Valladolid;Ambos sexos;2011;43,34
47 Valladolid;Ambos sexos;2010;43,07
47 Valladolid;Ambos sexos;2009;42,78
47 Valladolid;Ambos sexos;2008;42,56
47 Valladolid;Ambos sexos;2007;42,40
47 Valladolid;Ambos sexos;2006;42,19
47 Valladolid;Ambos sexos;2005;41,97
47 Valladolid;Ambos sexos;2004;41,72
47 Valladolid;Ambos sexos;2003;41,47
47 Valladolid;Ambos sexos;2002;41,21
47 Valladolid;Ambos sexos;2001;40,87
47 Valladolid;Ambos sexos;2000;40,51
47 Valladolid;Ambos sexos;1999;40,13
47 Valladolid;Ambos sexos;1998;39,74
47 Valladolid;Ambos sexos;1997;39,34
47 Valladolid;Ambos sexos;1996;38,93
47 Valladolid;Ambos sexos;1995;38,52
47 Valladolid;Ambos sexos;1994;38,11
47 Valladolid;Ambos sexos;1993;37,70
47 Valladolid;Ambos sexos;1992;37,30
47 Valladolid;Ambos sexos;1991;36,89
47 Valladolid;Ambos sexos;1990;36,45
47 Valladolid;Ambos sexos;1989;36,02
47 Valladolid;Ambos sexos;1988;35,59
47 Valladolid;Ambos sexos;1987;35,18
47 Valladolid;Ambos sexos;1986;34,75
47 Valladolid;Ambos sexos;1985;34,35
47 Valladolid;Ambos sexos;1984;33,98
47 Valladolid;Ambos sexos;1983;33,59
47 Valladolid;Ambos sexos;1982;33,24
47 Valladolid;Ambos sexos;1981;32,92
47 Valladolid;Ambos sexos;1980;32,68
47 Valladolid;Ambos sexos;1979;32,46
47 Valladolid;Ambos sexos;1978;32,32
47 Valladolid;Ambos sexos;1977;32,20
47 Valladolid;Ambos sexos;1976;32,13
47 Valladolid;Ambos sexos;1975;32,02
